,row,lvl
341,341,38826.0
342,342,37729.0
343,343,36632.0
344,344,35535.0
345,345,34438.0
346,346,33341.0
347,347,32244.0
348,348,31147.0
349,349,30050.0
350,350,28953.0
351,351,27856.0
352,352,26759.0
353,353,25662.0
354,354,24565.0
355,355,23468.0
356,356,22371.0
357,357,21274.0
358,358,20177.0
359,359,19080.0
360,360,17983.0
361,361,16886.0
362,362,15789.0
363,363,14692.0
364,364,13595.0
365,365,12498.0
366,366,11401.0
367,367,10304.0
368,368,9207.0
369,369,8110.0
370,370,7013.0
371,371,11249.333333333332
372,372,15485.666666666664
373,373,19721.999999999996
374,374,23958.33333333333
375,375,28194.66666666666
376,376,32430.999999999993
377,377,36667.33333333333
378,378,40903.666666666664
379,379,45140.0
380,380,49376.333333333336
381,381,53612.66666666667
382,382,57849.00000000001
383,383,62085.33333333334
384,384,66321.66666666667
385,385,70558.0
386,386,69461.0
387,387,68364.0
388,388,67267.0
389,389,66170.0
390,390,65073.0
391,391,63976.0
392,392,62879.0
393,393,61782.0
394,394,60685.0
395,395,59588.0
396,396,58491.0
397,397,57394.0
398,398,56297.0
399,399,55200.0
